dt,beta,g,tau,trial,initMacro,initCoral,initTurf,macroalgae,coral,turf,lgMacro,lgCoral,lgTurf
0.000100,0.100000,0.300000,0.500000,236,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,237,0.282636,0.249101,0.468264,0.598107,0.000012,0.401881,0.617903,0.000009,0.382087
0.000100,0.100000,0.300000,0.500000,238,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,239,0.282636,0.249101,0.468264,0.598008,0.002289,0.399704,0.618701,0.000422,0.380877
0.000100,0.100000,0.300000,0.500000,240,0.282636,0.249101,0.468264,0.560931,0.000150,0.438919,0.602848,0.000082,0.397070
0.000100,0.100000,0.300000,0.500000,241,0.282636,0.249101,0.468264,0.630470,0.015745,0.353785,0.638538,0.000691,0.360771
0.000100,0.100000,0.300000,0.500000,242,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,243,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,244,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,245,0.282636,0.249101,0.468264,0.665712,0.000206,0.334082,0.643266,0.000042,0.356692
0.000100,0.100000,0.300000,0.500000,246,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,247,0.282636,0.249101,0.468264,0.693494,0.000114,0.306393,0.651963,0.000083,0.347955
0.000100,0.100000,0.300000,0.500000,248,0.282636,0.249101,0.468264,0.574301,0.000054,0.425645,0.608337,0.000032,0.391631
0.000100,0.100000,0.300000,0.500000,249,0.282636,0.249101,0.468264,0.659940,0.000012,0.340048,0.640970,0.000018,0.359013
0.000100,0.100000,0.300000,0.500000,250,0.282636,0.249101,0.468264,0.490565,0.000346,0.509089,0.570235,0.000111,0.429654
0.000100,0.100000,0.300000,0.500000,251,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,252,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,253,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,254,0.282636,0.249101,0.468264,0.742682,0.000003,0.257315,0.667227,0.000009,0.332764
0.000100,0.100000,0.300000,0.500000,255,0.282636,0.249101,0.468264,0.622608,0.000004,0.377387,0.627361,0.000006,0.372633
0.000100,0.100000,0.300000,0.500000,256,0.282636,0.249101,0.468264,0.544107,0.000014,0.455879,0.595334,0.000047,0.404619
0.000100,0.100000,0.300000,0.500000,257,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,258,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
