dt,beta,g,tau,trial,theta,initMacro,initCoral,initTurf,lgMacro,lgCoral
1e-05,0.2,0.2,0.5,83,0.0981748,0.710437,0.00094434,0.288618,0.801675,3.04341e-06
1e-05,0.2,0.2,0.5,85,0.0981748,0.792807,3.57852e-06,0.20719,0.448064,0.0058802
1e-05,0.2,0.2,0.5,86,0.0981748,0.792933,3.57852e-06,0.207063,0.509344,0.00612374
1e-05,0.2,0.2,0.5,87,0.0981748,0.429118,0.00604848,0.564833,0.0178417,0.54277
1e-05,0.2,0.2,0.5,88,0.0981748,0.429366,0.00604848,0.564586,0.0204873,0.541292
1e-05,0.2,0.2,0.5,90,0.0981748,0.0190595,0.542461,0.43848,5.20387e-09,0.56
1e-05,0.2,0.2,0.5,89,0.0981748,0.0190643,0.542461,0.438475,4.76686e-09,0.56
1e-05,0.2,0.2,0.5,91,0.0981748,5.16995e-09,0.56,0.44,2.33585e-17,0.56
1e-05,0.2,0.2,0.5,92,0.0981748,0,0.56,0.44,3.13918e-17,0.56
1e-05,0.2,0.2,0.5,93,0.0981748,2.7171e-17,0.56,0.44,0,0.56
1e-05,0.2,0.2,0.5,94,0.0981748,0,0.56,0.44,0,0.56
1e-05,0.2,0.2,0.5,96,0.0981748,0,0.56,0.44,4.44004e-16,0.56
1e-05,0.2,0.2,0.5,95,0.0981748,0,0.56,0.44,3.83111e-16,0.56
1e-05,0.2,0.2,0.5,97,0.0981748,4.23784e-16,0.56,0.44,0.740711,0.00011607
1e-05,0.2,0.2,0.5,98,0.0981748,0,0.56,0.44,0.704159,7.44842e-05
1e-05,0.2,0.2,0.5,99,0.0981748,0.707364,8.30292e-05,0.292553,0.703923,5.1082e-07
1e-05,0.2,0.2,0.5,100,0.0981748,0.707476,8.30292e-05,0.292441,0.67798,4.22463e-07
1e-05,0.2,0.2,0.5,102,0.0981748,0.671418,4.63304e-07,0.328582,0.565026,2.53407e-10
1e-05,0.2,0.2,0.5,101,0.0981748,0.671405,4.63304e-07,0.328594,0.572649,2.52201e-10
1e-05,0.2,0.2,0.5,103,0.0981748,0.636356,2.64997e-10,0.363644,0.466721,0.00509231
1e-05,0.2,0.2,0.5,104,0.0981748,0.636334,2.64997e-10,0.363666,0.495089,0.00511147
1e-05,0.2,0.2,0.5,105,0.0981748,0.496642,0.00505625,0.498302,0.715622,8.43903e-05
1e-05,0.2,0.2,0.5,106,0.0981748,0.496362,0.00505625,0.498582,0.707987,7.16786e-05
1e-05,0.2,0.2,0.5,108,0.0981748,0.730809,8.07586e-05,0.269111,0.385541,3.94532e-08
1e-05,0.2,0.2,0.5,107,0.0981748,0.730882,8.07586e-05,0.269037,0.427671,4.11843e-08
1e-05,0.2,0.2,0.5,109,0.0981748,0.373159,3.8803e-08,0.626841,0.752327,6.80031e-11
