dt,beta,g,tau,trial,theta,initMacro,initCoral,initTurf,lgMacro,lgCoral
1e-05,1,0.2,0.6,1,0.883573,0,0.56,0.44,1.09654e-30,0.56
1e-05,1,0.2,0.6,2,0.883573,0,0.56,0.44,2.85932e-30,0.56
1e-05,1,0.2,0.6,3,0.883573,3.27776e-30,0.56,0.44,1.19746e-14,0.56
1e-05,1,0.2,0.6,1,0.981748,0,0.56,0.44,0,0.56
1e-05,1,0.2,0.6,2,0.981748,0,0.56,0.44,2.03397e-30,0.56
1e-05,1,0.2,0.6,3,0.981748,0,0.56,0.44,2.3729e-30,0.56
1e-05,1,0.2,0.6,1,1.07992,3.19252e-30,0.56,0.44,8.96943e-43,0.56
1e-05,1,0.2,0.6,2,1.07992,0,0.56,0.44,6.0914e-43,0.56
1e-05,1,0.2,0.6,3,1.07992,8.64026e-43,0.56,0.44,1.23506e-40,0.56
1e-05,1,0.2,0.6,1,1.1781,0,0.56,0.44,1.38833e-40,0.56
1e-05,1,0.2,0.6,3,1.1781,0,0.56,0.44,1.11541e-34,0.56
1e-05,1,0.2,0.6,2,1.1781,1.16866e-40,0.56,0.44,0,0.56
1e-05,1,0.2,0.6,1,1.27627,3.49995e-37,0.56,0.44,1.98203e-28,0.56
1e-05,1,0.2,0.6,2,1.27627,0,0.56,0.44,1.10613e-28,0.56
1e-05,1,0.2,0.6,3,1.27627,1.74281e-28,0.56,0.44,1.72148e-09,0.56
1e-05,1,0.2,0.6,1,1.37445,0,0.56,0.44,3.14368e-10,0.56
1e-05,1,0.2,0.6,2,1.37445,9.61513e-10,0.56,0.44,0,0.56
1e-05,1,0.2,0.6,3,1.37445,0,0.56,0.44,0,0.56
1e-05,1,0.2,0.6,1,1.47262,0,0.56,0.44,4.44673e-68,0.56
1e-05,1,0.2,0.6,2,1.47262,0,0.56,0.44,8.42795e-68,0.56
1e-05,1.2,0.2,0.6,1,0.0981748,0.0597111,0.00588103,0.934408,0.553799,0.00167924
1e-05,1,0.2,0.6,3,1.47262,4.11781e-68,0.56,0.44,0.657729,0.00166523
1e-05,1.2,0.2,0.6,2,0.0981748,0.488029,0.00168195,0.510289,0.850586,5.2304e-06
1e-05,1.2,0.2,0.6,3,0.0981748,0.487887,0.00168195,0.510431,0.834336,4.39632e-06
1e-05,1.2,0.2,0.6,1,0.19635,0.82836,4.7168e-06,0.171636,0.868977,5.84471e-11
1e-05,1.2,0.2,0.6,2,0.19635,0.827473,4.7168e-06,0.172522,0.887814,4.4e-11
1e-05,1.2,0.2,0.6,3,0.19635,0.9164,4.78783e-11,0.0836003,0.873413,2.87794e-17
1e-05,1.2,0.2,0.6,1,0.294524,0.916717,4.78783e-11,0.0832833,0.76037,2.40469e-17
1e-05,1.2,0.2,0.6,3,0.294524,0.843294,2.58386e-17,0.156706,6.22351e-17,1.50021e-10
1e-05,1.2,0.2,0.6,2,0.294524,0.844232,2.58386e-17,0.155768,1.24252e-16,3.21441e-10
1e-05,1.2,0.2,0.6,1,0.392699,1.15857e-16,2.87386e-10,1,2.56514e-07,0.10384
1e-05,1.2,0.2,0.6,2,0.392699,0,2.87386e-10,1,2.64411e-07,0.138302
1e-05,1.2,0.2,0.6,3,0.392699,6.77423e-07,0.126972,0.873027,0.951248,0.0340632
1e-05,1.2,0.2,0.6,1,0.490874,5.61342e-07,0.126972,0.873028,0.852518,0.0292782
1e-05,1.2,0.2,0.6,3,0.490874,0.953628,0.03227,0.0141016,0.0353788,0.000150766
1e-05,1.2,0.2,0.6,2,0.490874,0.95328,0.03227,0.0144504,0.00589411,0.000277114
1e-05,1.2,0.2,0.6,2,0.589049,0.00545555,0.000248075,0.994296,0.973127,1.40006e-09
1e-05,1.2,0.2,0.6,1,0.589049,0.00541527,0.000248075,0.994337,0.96773,8.38554e-10
1e-05,1.2,0.2,0.6,3,0.589049,0.926965,9.20955e-10,0.0730348,0.862557,0.000215701
1e-05,1.2,0.2,0.6,1,0.687223,0.926835,9.20955e-10,0.0731651,0.824936,0.000149781
1e-05,1.2,0.2,0.6,3,0.687223,0.725135,0.000157909,0.274707,1.65046e-12,0.00188403
1e-05,1.2,0.2,0.6,2,0.687223,0.725376,0.000157909,0.274466,1.00221e-12,0.00194372
1e-05,1.2,0.2,0.6,2,0.785398,0,0.00173863,0.998261,0.165509,0.0014224
1e-05,1.2,0.2,0.6,1,0.785398,1.593e-12,0.00173863,0.998261,0.20983,0.00149151
1e-05,1.2,0.2,0.6,3,0.785398,0.151673,0.00139283,0.846934,4.88127e-10,0.559987
1e-05,1.2,0.2,0.6,1,0.883573,0.151783,0.00139283,0.846824,4.84659e-10,0.559988
1e-05,1.2,0.2,0.6,2,0.883573,4.64517e-10,0.559987,0.440013,6.41973e-89,0.56
1e-05,1.2,0.2,0.6,3,0.883573,0,0.559987,0.440013,1.04865e-89,0.56
1e-05,1.2,0.2,0.6,1,0.981748,2.82197e-89,0.56,0.44,6.79283e-77,0.56
1e-05,1.2,0.2,0.6,2,0.981748,0,0.56,0.44,5.03808e-77,0.56
1e-05,1.2,0.2,0.6,3,0.981748,3.14611e-77,0.56,0.44,4.07361e-46,0.56
1e-05,1.2,0.2,0.6,1,1.07992,0,0.56,0.44,0,0.56
1e-05,1.2,0.2,0.6,3,1.07992,0,0.56,0.44,5.64872e-81,0.56
1e-05,1.2,0.2,0.6,2,1.07992,0,0.56,0.44,4.47607e-82,0.56
1e-05,1.2,0.2,0.6,1,1.1781,1.4097e-81,0.56,0.44,2.31219e-45,0.56
1e-05,1.2,0.2,0.6,2,1.1781,0,0.56,0.44,0,0.56
1e-05,1.2,0.2,0.6,3,1.1781,0,0.56,0.44,8.76691e-71,0.56
1e-05,1.2,0.2,0.6,1,1.27627,0,0.56,0.44,0,0.56
1e-05,1.2,0.2,0.6,2,1.27627,0,0.56,0.44,0.864718,1.87184e-05
1e-05,1.2,0.2,0.6,3,1.27627,0,0.56,0.44,0.67804,1.64916e-05
1e-05,1.2,0.2,0.6,2,1.37445,0.741329,1.70142e-05,0.258654,1.69189e-35,0.558939
